#1
char Aclass(3,11)
Atrajectory
1.1

char name(7,6)
time
h
der(h)
v
der(v)
g
e

char description(7,31)
Time in [s]
height, used as state
velocity of ball
velocity of ball, used as state
acceleration of ball
acceleration of gravity
dimensionless parameter

int dataInfo(7,4)
0 1 0 -1 # time
2 2 0 -1 # h
2 3 0 -1 # der(h)
2 4 0 -1 # v
2 5 0 -1 # der(v)
1 2 0 -1 # g
2 6 0 -1 # e

float data_1(2,2)
0.00000000000000E+00 9.81000000000000E+00
1.00000000000000E+01         9.81000000000000E+00

float data_2(501,6)                          
 0.00000000000000E+00 1.00000000000000E+00 0.00000000000000E+00 0.00000000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.00000000000000E-02 9.98234200000000E-01 -1.96200000000000E-01 -1.96200000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 4.00000000000000E-02 9.92544400000000E-01 -3.92400000000000E-01 -3.92400000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 6.00000000000000E-02 9.82930600000000E-01 -5.88600000000000E-01 -5.88600000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 8.00000000000000E-02 9.69392800000000E-01 -7.84800000000000E-01 -7.84800000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.00000000000000E-01 9.51931000000000E-01 -9.81000000000000E-01 -9.81000000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.20000000000000E-01 9.30545200000000E-01 -1.17720000000000E+00 -1.17720000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.40000000000000E-01 9.05235400000000E-01 -1.37340000000000E+00 -1.37340000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.60000000000000E-01 8.76001600000000E-01 -1.56960000000000E+00 -1.56960000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.80000000000000E-01 8.42843800000000E-01 -1.76580000000000E+00 -1.76580000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.00000000000000E-01 8.05762000000000E-01 -1.96200000000000E+00 -1.96200000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.20000000000000E-01 7.64756200000000E-01 -2.15820000000000E+00 -2.15820000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.40000000000000E-01 7.19826400000000E-01 -2.35440000000000E+00 -2.35440000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.60000000000000E-01 6.70972600000000E-01 -2.55060000000000E+00 -2.55060000000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 2.80000000000000E-01 6.18194800000000E-01 -2.74680000000001E+00 -2.74680000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 3.00000000000000E-01 5.61493000000000E-01 -2.94300000000001E+00 -2.94300000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 3.20000000000000E-01 5.00867200000000E-01 -3.13920000000001E+00 -3.13920000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 3.40000000000000E-01 4.36317399999999E-01 -3.33540000000001E+00 -3.33540000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 3.60000000000000E-01 3.67843599999999E-01 -3.53160000000001E+00 -3.53160000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 3.80000000000000E-01 2.95445799999999E-01 -3.72780000000002E+00 -3.72780000000002E+00 -9.81000000000000E+00 7.00000000000000E-01
 4.00000000000000E-01 2.19123999999999E-01 -3.92400000000002E+00 -3.92400000000002E+00 -9.81000000000000E+00 7.00000000000000E-01
 4.20000000000000E-01 1.38878199999998E-01 -4.12020000000002E+00 -4.12020000000002E+00 -9.81000000000000E+00 7.00000000000000E-01
 4.40000000000000E-01 5.47083999999979E-02 -4.31640000000001E+00 -4.31640000000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 4.60000000000000E-01 1.20427479999977E-02 3.05875800000001E+00 3.05875800000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 4.80000000000000E-01 7.14521079999979E-02 2.86255800000001E+00 2.86255800000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 5.00000000000000E-01 1.26937467999998E-01 2.66635800000000E+00 2.66635800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 5.20000000000000E-01 1.78498827999998E-01 2.47015800000000E+00 2.47015800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 5.40000000000000E-01 2.26136187999998E-01 2.27395800000000E+00 2.27395800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 5.60000000000000E-01 2.69849547999998E-01 2.07775800000000E+00 2.07775800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
